Irradiance reflectance or albedo [-] of six benthic substrate types.

Spectra 1.-4. are averages of in water spectra collected with an ASD Handheld-2 with a customized underwater housing using a Spectralon panel 
as white reference. Substrate and panel were illuminated with a tungsten halogen light source at ~ 10 cm distance (Greg Asner, personal communication).


0. constant; a constant irradiance reflectance of 0.1 or 10 % [1]
1. sand; spectrum is an average of 24 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
2. coral; spectrum is an average of 101 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
3. cca (crustose coralline algae); spectrum is an average of 751 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
4. macroalgae; spectrum is an average of 102 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
5. seagrass; seagrass (Zostera marina) from the Wismar bay in the Baltic Sea (Germany); measured in air (Schnalzger 2017 [2]) as provided with WASI6 [1]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Schnalzger (2017): Spektrale Datenbank für den Untergrund der Ostsee sowie Einfluss auf die Bestimmung der Wassertiefe. Master Thesis University of Augsburg, 68 pp.

wavelength_nm,constant,sand,coral,cca,macroalgae,seagrass
599,0.1,0.320956689,0.141997475,0.234569835,0.072930917,0.0351
600,0.1,0.321447134,0.142922964,0.234622887,0.07301721,0.03459
601,0.1,0.321853568,0.143755995,0.234438469,0.073018312,0.03411
602,0.1,0.322168194,0.144461674,0.23401566,0.07293884,0.03365
603,0.1,0.322387038,0.145009962,0.233355735,0.072768887,0.03322
604,0.1,0.322507406,0.145375692,0.232478571,0.072522866,0.0328
605,0.1,0.322531654,0.145539466,0.231409111,0.072224339,0.03241
606,0.1,0.322460983,0.145487506,0.230157691,0.071855902,0.03204
607,0.1,0.322298363,0.145215637,0.228737134,0.071412874,0.03168
608,0.1,0.322054039,0.144730557,0.227165412,0.070915468,0.03134
609,0.1,0.321742803,0.144046643,0.225459173,0.070372071,0.03102
610,0.1,0.321379815,0.143182638,0.223639566,0.069790203,0.03072
611,0.1,0.320977681,0.142163867,0.221740852,0.06919479,0.03042
612,0.1,0.320552016,0.141018887,0.219790394,0.068594252,0.03015
613,0.1,0.320117539,0.139777811,0.217815839,0.067982334,0.02988
614,0.1,0.319687679,0.138471681,0.215850238,0.067367458,0.02963
615,0.1,0.319272775,0.137130223,0.213920363,0.066763668,0.02939
616,0.1,0.318878437,0.135777047,0.212044443,0.066193377,0.02917
617,0.1,0.318510148,0.134435258,0.210238868,0.065655437,0.02896
